MedianBat,MedianGps,ShapeBat,ShapeGps,SuccessRate,ValidRate,PosteriorWeight
5,5,0.4,0.4,0,0,0
5,6,0.4,0.4,0,0,0
5,7,0.4,0.4,0,0.0001,6.34703e-10
5,8,0.4,0.4,0,0.0001,1.68918e-09
5,9,0.4,0.4,0.666667,0.0003,1.04414e-08
5,10,0.4,0.4,0.5,0.0008,4.75468e-08
5,11,0.4,0.4,0.333333,0.0009,7.92649e-08
5,12,0.4,0.4,0.555556,0.0018,2.10548e-07
5,13,0.4,0.4,0.666667,0.0024,3.42058e-07
5,14,0.4,0.4,0.68,0.0025,4.05258e-07
5,15,0.4,0.4,0.710526,0.0038,6.62632e-07
5,16,0.4,0.4,0.660377,0.0053,9.49848e-07
5,17,0.4,0.4,0.73913,0.0069,1.22393e-06
5,18,0.4,0.4,0.638889,0.0072,1.22504e-06
5,19,0.4,0.4,0.677778,0.009,1.43072e-06
5,20,0.4,0.4,0.795918,0.0098,1.42366e-06
5,21,0.4,0.4,0.827869,0.0122,1.58949e-06
5,22,0.4,0.4,0.805085,0.0118,1.35693e-06
5,23,0.4,0.4,0.826087,0.0138,1.38168e-06
5,24,0.4,0.4,0.833333,0.0144,1.24071e-06
5,25,0.4,0.4,0.841463,0.0164,1.20388e-06
5,26,0.4,0.4,0.871795,0.0156,9.67277e-07
5,27,0.4,0.4,0.851648,0.0182,9.46164e-07
5,28,0.4,0.4,0.885167,0.0209,9.05189e-07
5,29,0.4,0.4,0.87,0.02,7.17688e-07
6,5,0.4,0.4,0,0,0
6,6,0.4,0.4,0,0.0001,8.4624e-10
6,7,0.4,0.4,0,0.0005,1.61662e-08
6,8,0.4,0.4,0.25,0.0004,3.44194e-08
6,9,0.4,0.4,0,0.0009,1.59569e-07
6,10,0.4,0.4,0.277778,0.0018,5.44968e-07
6,11,0.4,0.4,0.346154,0.0026,1.16649e-06
6,12,0.4,0.4,0.277778,0.0036,2.1451e-06
6,13,0.4,0.4,0.453125,0.0064,4.6466e-06
6,14,0.4,0.4,0.40625,0.0064,5.28493e-06
6,15,0.4,0.4,0.563218,0.0087,7.72816e-06
6,16,0.4,0.4,0.508197,0.0122,1.1138e-05
6,17,0.4,0.4,0.57047,0.0149,1.34636e-05
6,18,0.4,0.4,0.632184,0.0174,1.50811e-05
6,19,0.4,0.4,0.64467,0.0197,1.59531e-05
6,20,0.4,0.4,0.65368,0.0231,1.70947e-05
6,21,0.4,0.4,0.692641,0.0231,1.53312e-05
6,22,0.4,0.4,0.734982,0.0283,1.65778e-05
6,23,0.4,0.4,0.737931,0.029,1.47908e-05
6,24,0.4,0.4,0.741538,0.0325,1.42646e-05
6,25,0.4,0.4,0.735849,0.0371,1.38733e-05
6,26,0.4,0.4,0.814607,0.0356,1.12446e-05
6,27,0.4,0.4,0.803069,0.0391,1.03547e-05
6,28,0.4,0.4,0.802564,0.039,8.60449e-06
6,29,0.4,0.4,0.832569,0.0436,7.97003e-06
7,5,0.4,0.4,0,0,0
7,6,0.4,0.4,1,0.0001,2.1854e-09
7,7,0.4,0.4,0,0.0002,1.66996e-08
7,8,0.4,0.4,0,0.0015,3.33327e-07
